idx,question,true_label,predicted_label,pred_calibrated,pred_hybrid,score_yes,score_no,score_maybe,calib_yes,calib_no,calib_maybe,text_vote,confidence_margin,generated_text,prompt_token_len,truncated
13,Is primary angioplasty an acceptable alternative to thrombolysis?,yes,no,no,no,7.2821,8.158,4.7558,2.9515000000000002,3.9541999999999993,3.8716999999999997,,0.8759,'Primary angioplasty is an acceptable alternative to thrombolysis for the treatment of acute myocardial infarction'.,278,False
14,Is endometrial polyp formation associated with increased expression of vascular endothelial growth factor and transforming growth factor-beta1?,yes,no,no,no,4.7792,7.3409,2.6975,0.4486000000000008,3.1371,1.8133999999999997,yes,2.5617,endometrial polyp formation is associated with increased expression of vascular endothelial growth factor and transforming growth factor-beta1.,369,False
15,Improvements in survival of gynaecological cancer in the Anglia region of England: are these an effect of centralisation of care and use of multidisciplinary management?,yes,no,no,no,3.1294,7.7098,2.3249,-1.2011999999999996,3.5060000000000002,1.4407999999999999,no,4.5804,centralisation of care is not the only factor that has led to improvements in survival.,269,False
16,Estimated fetal weight by ultrasound: a modifiable risk factor for cesarean delivery?,yes,no,maybe,maybe,6.7824,7.0929,4.0222,2.4518000000000004,2.8891,3.1380999999999997,,0.3105,"""There is a risk of cesarean delivery for women with US-EFW > 3500 g.""",213,False
17,Are financial incentives cost-effective to support smoking cessation during pregnancy?,yes,no,no,yes,5.6815,8.9526,4.7093,1.3509000000000002,4.7488,3.8251999999999997,yes,3.271,£400 worth of financial incentives is not cost-effective to support smoking cessation in pregnancy.,378,False
18,Do adjuvant aromatase inhibitors increase the cardiovascular risk in postmenopausal women with early breast cancer?,yes,no,no,no,6.3876,8.4576,4.6013,2.0570000000000004,4.253799999999999,3.7172,,2.0701,AIs increase the risk of thromboembolic events in postmenopausal women with early breast cancer.,335,False
19,Is fear of anaphylactic shock discouraging surgeons from more widely adopting percutaneous and laparoscopic techniques in the treatment of liver hydatid cyst?,yes,no,no,no,6.4914,8.8604,4.7354,2.1608,4.6566,3.8513,no,2.369,"""There is no evidence that laparoscopic or percutaneous treatment of liver hydatid cyst is superior to open surgery.""",170,False
20,Risk stratification in emergency surgical patients: is the APACHE II score a reliable marker of physiological impairment?,yes,no,no,no,5.3892,7.4231,3.1439,1.0586000000000002,3.2192999999999996,2.2598,,2.0338,"""The APACHE II score is a reliable marker of physiological impairment.""",312,False
21,Can Flexible Instruments Create Adequate Femoral Tunnel Lengths at 90° of Knee Flexion in Anterior Cruciate Ligament Reconstruction?,yes,no,maybe,maybe,6.2441,7.529,5.2197,1.9135000000000009,3.3251999999999997,4.3355999999999995,no,1.285,"""The evidence is not strong enough to recommend the use of flexible reamers in Anterior Cruciate Ligament Reconstruction.""",409,False
22,Do mitochondria play a role in remodelling lace plant leaves during programmed cell death?,yes,no,maybe,maybe,4.1571,7.1233,4.7492,-0.17349999999999977,2.9195,3.8651,,2.3741,do mitochondria play a role in remodelling lace leaves?,365,False
23,"""Occult"" posttraumatic lesions of the knee: can magnetic resonance substitute for diagnostic arthroscopy?",yes,no,no,no,6.6779,8.6507,4.7349,2.3473000000000006,4.4469,3.8507999999999996,,1.9728,"""MRI is the best imaging modality for the detection and characterization of occult bone and / or cartilage injuries of the knee.""",451,False
24,Does Sensation Return to the Nasal Tip After Microfat Grafting?,yes,yes,yes,yes,8.8035,8.1731,3.218,4.4729,3.9692999999999996,2.3339,,0.6304,"""Yes.""",266,False
25,Do some U.S. states have higher/lower injury mortality rates than others?,yes,no,no,yes,4.3658,6.9008,3.1964,0.035200000000000564,2.697,2.3123,yes,2.535,"""The U.S. states with the highest rates of road traffic deaths have higher / lower injury mortality rates than the states with the lowest rates.""",173,False
26,Hepatorenal syndrome: are we missing some prognostic factors?,yes,no,no,no,6.5675,8.1514,4.7702,2.2369000000000003,3.9476000000000004,3.8861,,1.5839,HRS is a syndrome.,330,False
27,"The Main Gate Syndrome: a new format in mass-casualty victim ""surge"" management?",yes,no,no,no,3.3712,7.0431,2.3515,-0.9593999999999996,2.8392999999999997,1.4674,,3.6718,"""The first triage is the first step in the management of the casualties.""",145,False
28,Is EQ-5D a valid quality of life instrument in patients with acute coronary syndrome?,yes,yes,yes,yes,9.1404,8.1628,3.2787,4.8098,3.9590000000000005,2.3946,,0.9776,"""The EQ-5D is a valid instrument to measure the health-related quality of life in patients with acute coronary syndrome.""",275,False
29,Is portable ultrasonography accurate in the evaluation of Schanz pin placement during extremity fracture fixation in austere environments?,yes,no,no,no,7.0551,7.3226,2.5744,2.724500000000001,3.1188000000000002,1.6902999999999997,no,0.2675,"""There is no evidence that ultrasonography is accurate in the evaluation of Schanz pin placement during extremity fracture fixation in austere environments.""",272,False
30,Is grandmultiparity an independent risk factor for adverse perinatal outcomes?,yes,no,no,yes,5.4208,7.7512,3.7377,1.0902000000000003,3.5473999999999997,2.8535999999999997,yes,2.3304,grandmultiparous women are at increased risk for adverse perinatal outcomes.,278,False
31,Does depression diagnosis and antidepressant prescribing vary by location?,yes,no,no,no,2.3622,6.8188,3.0157,-1.9683999999999995,2.615,2.1315999999999997,no,3.8031,the neighbourhood effect is not a random phenomenon but is a reflection of the local context.,322,False
32,Learning needs of postpartum women: does socioeconomic status matter?,yes,no,no,no,4.1492,8.1377,4.1327,-0.18139999999999912,3.9339000000000004,3.2485999999999997,,3.9886,"""What is the answer?""",331,False
33,Is there a differential in the dental health of new recruits to the British Armed Forces?,yes,no,no,no,3.4513,8.6919,1.7957,-0.8792999999999997,4.4881,0.9116000000000001,no,5.2406,'There is no evidence that the dental health of new recruits to the British Armed Forces is poorer than that of recruits to the Royal Navy or,274,False
34,Do patients with rheumatoid arthritis established on methotrexate and folic acid 5 mg daily need to continue folic acid supplements long term?,yes,no,no,no,5.3156,9.131,5.7053,0.9850000000000003,4.9272,4.8212,,3.4258,'No.',333,False
35,Can teaching medical students to investigate medication errors change their attitudes towards patient safety?,yes,no,no,no,5.4015,6.6793,1.8393,1.0709000000000009,2.4754999999999994,0.9551999999999999,,1.2778,'What is the impact of a patient safety curriculum on medical students' attitudes towards patient safety? ',213,False
36,Does a delay in transfer to a rehabilitation unit for older people affect outcome after fracture of the proximal femur?,yes,no,no,no,6.9264,8.4642,4.9204,2.5958000000000006,4.2604,4.0363,,1.5378,"""Do older people with fracture of the proximal femur have a poorer outcome after discharge from hospital?""",228,False
37,Are there gender differences in the reasons why African Americans delay in seeking medical help for symptoms of an acute myocardial infarction?,yes,no,maybe,maybe,4.5601,7.2354,4.6464,0.2295000000000007,3.0316,3.7622999999999998,,2.589,"""The reasons why African Americans delay in seeking medical help for symptoms of an acute myocardial infarction are different for men and women.""",257,False
38,Does ambulatory process of care predict health-related quality of life outcomes for patients with chronic disease?,yes,yes,yes,yes,8.6567,7.2136,3.4935,4.326100000000001,3.0097999999999994,2.6094,,1.4431,"""Does ambulatory process of care predict health-related quality of life outcomes for patients with chronic disease?""",265,False
39,Is the combination with 2-methoxyestradiol able to reduce the dosages of chemotherapeutices in the treatment of human ovarian cancer?,yes,no,maybe,maybe,7.1941,8.1236,6.4609,2.8635,3.9197999999999995,5.5767999999999995,no,0.9295,"""The combination of 2ME with chemotherapeutic agents is not a rational approach.""",214,False
40,Does a dedicated discharge coordinator improve the quality of hospital discharge?,yes,no,no,no,5.8445,7.6709,3.4593,1.5139000000000005,3.4670999999999994,2.5751999999999997,,1.8264,"""The discharge coordinator improves the quality of discharge planning.""",336,False
41,Impact of MPH programs: contributing to health system strengthening in low- and middle-income countries?,yes,no,no,no,3.3862,8.0742,3.4814,-0.9443999999999995,3.870399999999999,2.5972999999999997,yes,4.5928,"""Impact on workplace"" and ""impact on society"" and that MPH programs can have a significant impact on health systems.",464,False
42,Pap smears with glandular cell abnormalities: Are they detected by rapid prescreening?,yes,no,no,no,4.2929,6.8199,1.6316,-0.03769999999999918,2.6160999999999994,0.7474999999999999,no,2.527,"""There is no evidence that RPS is more sensitive for detecting glandular cell abnormalities than FS.""",323,False
43,Can transcranial direct current stimulation be useful in differentiating unresponsive wakefulness syndrome from minimally conscious state patients?,yes,no,maybe,maybe,6.7599,7.4047,5.7041,2.4293000000000005,3.2009,4.82,,0.6448,"""yes"" for the former, and ""no"" for the latter.",253,False
44,Is etoricoxib effective in preventing heterotopic ossification after primary total hip arthroplasty?,yes,no,no,yes,7.5218,8.6382,5.1204,3.1912000000000003,4.434399999999999,4.2363,yes,1.1164,etoricoxib is effective in preventing heterotopic ossification.,223,False
45,Assessing Patient Reported Outcomes Measures via Phone Interviews Versus Patient Self-Survey in the Clinic: Are We Measuring the Same Thing?,yes,no,no,no,6.6377,7.8003,1.8508,2.3071,3.5965,0.9667,,1.1626,"""We Are Measuring the Same Thing.""",514,False
46,Can emergency physicians accurately and reliably assess acute vertigo in the emergency department?,yes,yes,yes,yes,9.6149,7.0818,4.1189,5.284300000000001,2.878,3.2348,,2.5331,"""yes,"" and that STANDING is a reliable tool to diagnose central acute vertigo. """,366,False
47,Proof of concept study: does fenofibrate have a role in sleep apnoea syndrome?,yes,no,no,no,8.4148,9.0462,4.7169,4.0842,4.8424000000000005,3.8327999999999998,,0.6313,fenofibrate has a role in the treatment of sleep apnoea syndrome.,446,False
48,Does implant coating with antibacterial-loaded hydrogel reduce bacterial colonization and biofilm formation in vitro?,yes,no,no,no,6.3672,7.5516,3.4179,2.036600000000001,3.3477999999999994,2.5338,,1.1844,"""Does coating with antibacterial-loaded DAC hydrogel reduce or prevent bacterial colonization and biofilm formation in vitro?""",267,False
49,Does bone anchor fixation improve the outcome of percutaneous bladder neck suspension in female stress urinary incontinence?,yes,no,maybe,maybe,5.3505,8.2565,5.1439,1.0199000000000007,4.052700000000001,4.2598,,2.906,'Bone anchor fixation improves the outcome of percutaneous bladder neck suspension in female stress urinary incontinence'.,291,False
50,Is leptin involved in phagocytic NADPH oxidase overactivity in obesity?,yes,no,maybe,maybe,6.7983,6.871,4.0197,2.4677000000000007,2.6672000000000002,3.1356,,0.0727,"""What is the role of leptin in the development of cardiovascular diseases in obesity?""",293,False
51,Can we predict which head and neck cancer survivors develop fears of recurrence?,yes,no,no,no,6.0738,7.3533,3.043,1.7432000000000007,3.1494999999999997,2.1589,,1.2795,fear of recurrence is a manifestation of illness-related anxiety.,305,False
52,Differentiation of nonalcoholic from alcoholic steatohepatitis: are routine laboratory markers useful?,yes,no,no,yes,4.0787,6.8658,3.4046,-0.2518999999999991,2.662,2.5204999999999997,yes,2.7872,the AST / ALT ratio and the MCV are useful in distinguishing nonalcoholic steatohepatitis from alcoholic steatohepatitis.,304,False
53,Traumatic aortic injury: does the anatomy of the aortic arch influence aortic trauma severity?,yes,no,no,yes,3.2609,6.6348,2.5352,-1.0696999999999997,2.431,1.6511,yes,3.374,the aortic arch angle is a significant predictor of the severity of aortic injury.,238,False
54,The Prevalence of Incidentally Detected Idiopathic Misty Mesentery on Multidetector Computed Tomography: Can Obesity Be the Triggering Cause?,yes,no,maybe,maybe,3.1061,7.796,5.3933,-1.2244999999999995,3.5922,4.5092,,2.4027,"""Misty mesentery appearance is a normal variant of the mesentery.""",284,False
55,Fast foods - are they a risk factor for asthma?,yes,no,maybe,maybe,5.3149,8.0979,5.6693,0.9843000000000002,3.894099999999999,4.7852,,2.4287,fast foods are a risk factor for asthma and wheeze.,368,False
56,Assessment of appropriate antimicrobial prescribing: do experts agree?,yes,no,no,no,7.6464,8.1402,3.2939,3.3158000000000003,3.9364,2.4097999999999997,no,0.4937,"""There is no evidence that they agree with the reference standard.""",261,False
57,Pulmonary valve replacement in adults late after repair of tetralogy of fallot: are we operating too late?,yes,no,maybe,maybe,5.7772,7.3337,5.6586,1.4466,3.1299,4.7745,no,1.5565,"""We should not operate too late.""",321,False
58,Is amoxapine an atypical antipsychotic?,yes,no,no,no,5.1459,6.8209,3.2513,0.8153000000000006,2.6170999999999998,2.3672,no,1.675,"""The atypical antipsychotic amoxapine does not conform to the profile of atypical antipsychotics.""",200,False
59,Do older patients who refuse to participate in a self-management intervention in the Netherlands differ from older patients who agree to participate?,yes,no,maybe,maybe,6.5787,8.2091,5.463,2.248100000000001,4.005299999999999,4.5789,maybe,1.6304,"""The refusers are more restricted in their mobility, live further away from the location of the intervention, and have a partner more often than the participants",283,False
60,Is horizontal semicircular canal ocular reflex influenced by otolith organs input?,yes,no,no,no,5.3777,6.6824,2.43,1.0471000000000004,2.4786,1.5459,,1.3047,Horizontal canal ocular reflex is influenced by otolith organs input.,181,False
61,Preoperative tracheobronchoscopy in newborns with esophageal atresia: does it matter?,yes,no,no,yes,6.5486,7.3668,2.5533,2.218000000000001,3.1629999999999994,1.6692,yes,0.8183,preoperative TBS is a useful tool in the management of newborns with esophageal atresia.,325,False
62,Is it appropriate to implant kidneys from elderly donors in young recipients?,yes,no,maybe,maybe,6.3213,7.4825,6.5991,1.9907000000000004,3.2786999999999997,5.715,no,0.8834,"""The answer is that the kidneys from elderly donors are not inferior to those from young donors.""",346,False
63,Is muscle power related to running speed with changes of direction?,yes,no,no,no,4.1574,7.5017,3.1375,-0.17319999999999958,3.2978999999999994,2.2534,,3.3443,"""Does muscle power contribute to sprinting speed with changes of direction?""",243,False
64,Stretch-sensitive KCNQ1 mutation A link between genetic and environmental factors in the pathogenesis of atrial fibrillation?,yes,no,no,no,5.1889,6.8939,2.7299,0.8583000000000007,2.6901,1.8458,,1.705,"""What is the role of atrial stretch in the pathogenesis of AF?""",277,False
65,Are pelvic anatomical structures in danger during arthroscopic acetabular labral repair?,yes,no,no,no,4.1254,8.2723,2.8994,-0.2051999999999996,4.068499999999999,2.0153,,4.1469,"""The acetabular labrum is safe to insert at 10 ° to 20 ° of drill angle.""",262,False
66,Is intraoperative neuromonitoring associated with better functional outcome in patients undergoing open TME?,yes,no,maybe,yes,7.434,7.9681,5.0396,3.1034000000000006,3.7642999999999995,4.1555,yes,0.5341,"""Is intraoperative neuromonitoring associated with better urogenital and anorectal functional outcome?""",264,False
67,Profiling quality of care: Is there a role for peer review?,yes,yes,no,no,7.5367,7.4215,2.6659,3.2061,3.2177,1.7818,,0.1152,"""The evidence base for practice is more developed than the quality of care that is measured.""",357,False
68,Multidisciplinary decisions in breast cancer: does the patient receive what the team has recommended?,yes,no,no,no,4.9711,9.5042,4.1529,0.6405000000000003,5.300400000000001,3.2687999999999997,,4.5332,'The patient receives what the team has recommended'.,241,False
69,Are performance measurement systems useful?,yes,yes,yes,yes,7.336,7.1798,2.3809,3.0054000000000007,2.976,1.4968,yes,0.1562,"""The strategic use of performance measurement systems is useful for improving processes of care.""",211,False
70,The colour of pain: can patients use colour to describe osteoarthritis pain?,yes,no,no,no,8.1271,8.9534,3.6921,3.796500000000001,4.7496,2.808,,0.8263,'red'.,307,False
71,Do mossy fibers release GABA?,yes,no,no,no,4.4439,6.5872,3.0293,0.11330000000000062,2.3834,2.1452,,2.1434,mossy fibers release GABA.,263,False
72,Is severe macrosomia manifested at 11-14 weeks of gestation?,yes,yes,no,no,6.7463,6.6745,3.1736,2.4157,2.4707,2.2895,,0.0718,severe macrosomia is manifested at 11-14 weeks of gestation.,280,False
73,Visceral adipose tissue area measurement at a single level: can it represent visceral adipose tissue volume?,yes,no,maybe,maybe,5.7044,6.7629,3.5743,1.3738000000000001,2.5591,2.6902,,1.0585,"""The best slice location for measuring visceral adipose tissue area is 3 cm above the lower margin of L3.""",204,False
74,Is an advance care planning model feasible in community palliative care?,yes,no,maybe,maybe,6.3395,7.7421,5.5865,2.0089000000000006,3.5382999999999996,4.7024,,1.4026,'What is the feasibility of implementing an advance care planning model in community palliative care?',254,False
75,Do cytokines have any role in epilepsy?,yes,no,no,no,6.7461,8.6224,3.553,2.4155000000000006,4.4186000000000005,2.6689,no,1.8763,"""There is no role for cytokines in epilepsy.""",460,False
76,Is expert breast pathology assessment necessary for the management of ductal carcinoma in situ ?,yes,no,no,no,7.6266,8.5594,3.883,3.2960000000000003,4.3556,2.9989,no,0.9329,"""There is no need for expert breast pathology assessment of DCIS.""",261,False
77,Treadmill testing of children who have spina bifida and are ambulatory: does peak oxygen uptake reflect maximum oxygen uptake?,yes,no,no,no,5.6437,8.3386,4.3004,1.3131000000000004,4.134799999999999,3.4162999999999997,no,2.6949,"""There is no evidence that peak oxygen uptake is a true reflection of maximum oxygen uptake.""",387,False
78,Subclavian steal syndrome: can the blood pressure difference between arms predict the severity of steal?,yes,no,maybe,maybe,7.7642,8.0575,4.7633,3.4336,3.853699999999999,3.8792,,0.2933,"""There is a relationship between the side-to-side difference in systolic blood pressure and the presence of subclavian steal syndrome.""",344,False
79,Is size-reducing ascending aortoplasty with external reinforcement an option in modern aortic surgery?,yes,no,maybe,yes,5.3992,8.5698,5.7212,1.0686000000000009,4.3660000000000005,4.8370999999999995,yes,2.8486,size-reducing ascending aortoplasty is a safe and effective procedure in the treatment of ascending aortic aneurysm and ectasia.,305,False
80,Is digoxin use for cardiovascular disease associated with risk of prostate cancer?,yes,no,no,no,7.381,8.5901,4.9526,3.0504000000000007,4.386299999999999,4.0685,,1.2091,"""There is a relationship between digoxin use and reduced risk of prostate cancer.""",279,False
81,Screening for gestational diabetes mellitus: are the criteria proposed by the international association of the Diabetes and Pregnancy Study Groups cost-effective?,yes,no,no,no,6.968,9.8651,2.2371,2.6374000000000004,5.6613,1.3529999999999998,yes,2.897,screening for gestational diabetes mellitus is cost-effective.,334,False
82,Does a 4 diagram manual enable laypersons to operate the Laryngeal Mask Supreme®?,yes,no,no,no,7.8208,8.4465,4.7643,3.4902000000000006,4.2427,3.8802000000000003,,0.6258,"""The Laryngeal Mask Supreme ® is inserted correctly in the manikin in the right direction and is able to provide adequate ventilation.",368,False
83,Is laparoscopic reoperation for failed antireflux surgery feasible?,yes,no,maybe,maybe,7.9802,8.6513,6.6889,3.6496000000000004,4.447500000000001,5.8048,no,0.6711,"""If the patient is not a candidate for a laparoscopic reoperation, then the patient should be referred to a surgeon who is experienced in laparoscopic antireflux surgery",511,False
84,The Omega-3 Index: a new risk factor for death from coronary heart disease?,yes,no,maybe,maybe,5.97,7.2006,4.3905,1.6394000000000002,2.9967999999999995,3.5064,,1.2306,"""The Omega-3 Index is a new risk factor for death from CHD.""",246,False
85,Do cytokine concentrations in pancreatic juice predict the presence of pancreatic diseases?,yes,no,no,no,7.5875,8.1577,3.4188,3.256900000000001,3.9539,2.5347,,0.5702,"""Is there a pancreatic disease?""",291,False
86,Factors determining the survival of nasopharyngeal carcinoma with lung metastasis alone: does combined modality treatment benefit?,yes,yes,maybe,no,8.3178,7.9134,4.9215,3.9872000000000005,3.7096,4.0374,no,0.4044,"Combined modality treatment might benefit the patients with DFI > 1 year, but not those with DFI ≤ 1 year.",306,False
87,Is minimally invasive mitral valve repair with artificial chords reproducible and applicable in routine surgery?,yes,no,maybe,yes,6.0111,7.7999,4.7215,1.6805000000000003,3.5961,3.8373999999999997,yes,1.7888,"""Chordal transfer is a safe and effective technique for minimally invasive mitral valve repair.""",309,False
88,Does receipt of hospice care in nursing homes improve the management of pain at the end of life?,yes,no,no,no,7.4661,7.7576,3.4479,3.1355000000000004,3.5538,2.5638,,0.2915,Do nursing home residents receive adequate pain management?,457,False
89,Is intensive chemotherapy safe for rural cancer patients?,yes,no,no,no,4.6688,8.6617,3.5238,0.3382000000000005,4.4578999999999995,2.6397,,3.9929,'It is safe to give intensive chemotherapy to rural patients with metastatic colorectal and node-positive breast cancers at the same doses as urban patients.',302,False
90,Is the urinary biomarkers assessment a non-invasive approach to tubular lesions of the solitary kidney?,yes,no,maybe,no,5.1418,7.6285,4.9796,0.8112000000000004,3.4246999999999996,4.0954999999999995,no,2.4867,"""Urinary biomarkers are not a non-invasive approach to tubular lesions of the solitary kidney.""",356,False
91,Does open access endoscopy close the door to an adequately informed patient?,yes,yes,maybe,maybe,7.3271,7.3112,5.3395,2.9965,3.1074,4.4554,no,0.0159,"""The patient is not a patient.""",299,False
92,Do viral infections have a role in benign paroxysmal positional vertigo?,yes,no,no,no,8.0707,8.2395,4.28,3.740100000000001,4.035699999999999,3.3959,,0.1687,"""There is a role for viral infection in BPPV.""",215,False
93,Does reducing spasticity translate into functional benefit?,yes,no,no,no,7.6475,8.7969,5.4218,3.3169000000000004,4.593100000000001,4.5377,,1.1494,"""Does reducing spasticity translate into functional benefit?""",324,False
94,Is the Retromandibular Transparotid Approach a Reliable Option for the Surgical Treatment of Condylar Fractures?,yes,no,no,no,7.2954,8.3211,2.2506,2.9648000000000003,4.117299999999999,1.3664999999999998,,1.0257,"""The retromandibular transparotid approach is a Safe and Reliable Option for the Surgical Treatment of Condylar Fractures.""",235,False
95,Do ventricular arrhythmias in athletes subside over time?,yes,no,no,no,4.9234,7.9633,3.7584,0.5928000000000004,3.7595,2.8743,no,3.0399,"""There is no evidence that ventricular arrhythmias in athletes subside over time.""",301,False
96,Are complex coronary lesions more frequent in patients with diabetes mellitus?,yes,no,maybe,maybe,7.021,7.069,4.491,2.6904000000000003,2.8651999999999997,3.6068999999999996,,0.0479,"""The prevalence of complex coronary lesions is greater in diabetics than in nondiabetics.""",334,False
97,Can dogs prime autistic children for therapy?,yes,yes,yes,yes,8.4559,7.1839,3.2445,4.1253,2.9801,2.3604,,1.272,"""Can dogs prime autistic children for therapy?""",275,False
98,Quality of life in lung cancer patients: does socioeconomic status matter?,yes,no,no,no,4.129,8.5419,3.1625,-0.2016,4.3381,2.2784,no,4.4128,'There is no evidence that socioeconomic status matters for quality of life in lung cancer patients'. ',303,False
99,Is there a model to teach and practice retroperitoneoscopic nephrectomy?,yes,no,no,no,5.1393,6.6964,1.502,0.8087000000000009,2.4925999999999995,0.6179,,1.5571,"""The model is a training model for retroperitoneoscopic nephrectomy.""",260,False
100,Is the type of remission after a major depressive episode an important risk factor to relapses in a 4-year follow up?,yes,no,maybe,maybe,6.3986,8.5663,5.5616,2.0680000000000005,4.3625,4.6775,,2.1677,"""Partial remission is a risk factor for relapses.""",232,False
101,Implementation of epidural analgesia for labor: is the standard of effective analgesia reachable in all women?,yes,no,no,no,7.6664,8.2189,4.3333,3.3358000000000008,4.0150999999999994,3.4492000000000003,,0.5525,"""Epidural analgesia for labor is a good practice.""",304,False
102,Longer term quality of life and outcome in stroke patients: is the Barthel index alone an adequate measure of outcome?,yes,no,no,no,7.5319,7.9148,3.805,3.2013000000000007,3.7109999999999994,2.9209,no,0.383,"""The Barthel index alone is not a good measure of outcome in stroke patients.""",366,False
103,Does a special interest in laparoscopy affect the treatment of acute cholecystitis?,yes,yes,maybe,yes,7.7624,7.299,4.8313,3.431800000000001,3.0952,3.9471999999999996,yes,0.4634,"""The treatment of acute cholecystitis is improved under the care of laparoscopic specialists.""",323,False
104,Do older adults with cancer fall more often?,yes,yes,maybe,maybe,8.5528,7.6411,5.315,4.2222,3.4372999999999996,4.4309,,0.9117,"""Do older adults with cancer fall more often?""",266,False
105,Two-year follow-up survey of patients with allergic contact dermatitis from an occupational cohort: is the prognosis dependent on the omnipresence of the allergen?,yes,no,no,no,5.4016,8.3438,2.2319,1.0710000000000006,4.14,1.3477999999999999,,2.9422,"""The prognosis is better for those with allergy to a nonubiquitous allergen than for those with allergy to a ubiquitous allergen.""",276,False
106,Is there a favorable subset of patients with prostate cancer who develop oligometastases?,yes,no,maybe,maybe,5.9591,8.1436,5.8311,1.6285000000000007,3.939799999999999,4.947,,2.1845,"""There is a subset of patients with prostate cancer who develop oligometastases that have a favorable prognosis.""",429,False
107,Does radiotherapy around the time of pregnancy for Hodgkin's disease modify the risk of breast cancer?,yes,no,no,no,6.3161,8.2826,2.7936,1.9855,4.0788,1.9095,yes,1.9665,"""There is a small but significant increase in the risk of breast cancer among women treated with RT for Hodgkin's disease who are pregnant.""",355,False
108,Does left atrial appendage (LAA) occlusion device alter the echocardiography and electrocardiogram parameters in patients with atrial fibrillation?,yes,no,no,no,5.6169,8.1293,4.0299,1.2863000000000007,3.9255000000000004,3.1457999999999995,no,2.5123,LAA occlusion device may not affect the echocardiography and ECG parameters in patients with atrial fibrillation.,264,False
109,Is non-invasive diagnosis of esophageal varices in patients with compensated hepatic cirrhosis possible by duplex Doppler ultrasonography?,yes,no,maybe,maybe,7.3284,8.7034,5.458,2.9978000000000007,4.4996,4.5739,,1.375,"""There is no evidence to support the use of duplex Doppler ultrasonography for the diagnosis of esophageal varices in patients with compensated hepatic cirrhosis.""",423,False
